LHS,SObs_L0A0_0,SObs_L0A0_1,SObs_L0A0_2,Sobs_ter,Sobs_min,Sobs_max,term2_Sobs,TObs_first_AA,Tobsmin,Tobsmax,term1_Tobs,Sneakmetric,TObs_first_aa,AssortativeMate_Factor,mature_eqn_slope,N0,Prop_sizemort
LHS_45,240290,0,0,0,1,85095,0,232,153,300,0.537414966,0.731292517,NA,1.304672939,0.032855489,0.307206513,4.512038798
LHS_81,214974,0,0,0,1,85095,0,232,153,300,0.537414966,0.731292517,NA,2.196104067,0.037420856,0.387432953,2.14687461
LHS_37,210561,0,0,0,1,85095,0,225,153,300,0.489795918,0.755102041,NA,2.039922683,0.04036321,0.260715506,3.71577818
LHS_1,215660,0,0,0,1,85095,0,219,153,300,0.448979592,0.775510204,NA,1.547747848,0.047454797,0.108997556,3.765912824
LHS_88,217431,0,0,0,1,85095,0,217,153,300,0.43537415,0.782312925,NA,1.749223109,0.037706011,0.372706855,2.266866771
LHS_72,222692,0,0,0,1,85095,0,216,153,300,0.428571429,0.785714286,NA,1.987658353,0.019394684,0.406846481,1.017129905
LHS_90,226989,0,0,0,1,85095,0,216,153,300,0.428571429,0.785714286,NA,1.252916256,0.034634348,0.056948652,2.561239491
LHS_82,212329,0,0,0,1,85095,0,215,153,300,0.421768707,0.789115646,NA,1.643920997,0.047133127,0.485085286,4.083783608
LHS_17,220221,0,0,0,1,85095,0,214,153,300,0.414965986,0.792517007,NA,2.0914456,0.033773958,0.333652532,1.212138234
LHS_31,219098,0,0,0,1,85095,0,212,153,300,0.401360544,0.799319728,NA,1.281320156,0.049840262,0.201690338,3.856240299
LHS_76,224484,0,0,0,1,85095,0,209,153,300,0.380952381,0.80952381,NA,2.151351157,0.035099407,0.443829206,2.096445021
LHS_79,204216,0,0,0,1,85095,0,208,153,300,0.37414966,0.81292517,NA,1.881014138,0.044547833,0.23511207,0.462752191
LHS_51,201141,0,0,0,1,85095,0,207,153,300,0.367346939,0.816326531,NA,1.092116339,0.039998389,0.146727345,3.366565055
LHS_60,228972,0,0,0,1,85095,0,207,153,300,0.367346939,0.816326531,NA,1.764800858,0.02567029,0.44737735,4.418268659
LHS_63,213182,0,0,0,1,85095,0,206,153,300,0.360544218,0.819727891,NA,1.919320522,0.022433008,0.311359203,4.898845597
LHS_94,213902,0,0,0,1,85095,0,206,153,300,0.360544218,0.819727891,NA,2.005890601,0.026905234,0.182102716,0.974993242
LHS_5,218277,0,0,0,1,85095,0,205,153,300,0.353741497,0.823129252,NA,1.830541393,0.037059775,0.358049775,0.789863855
LHS_6,219545,0,0,0,1,85095,0,205,153,300,0.353741497,0.823129252,NA,1.942805522,0.028490627,0.48763034,1.650441512
LHS_11,225009,0,0,0,1,85095,0,200,153,300,0.319727891,0.840136054,NA,1.568801923,0.045547964,0.328085129,4.753160885
LHS_77,201697,0,0,0,1,85095,0,196,153,300,0.292517007,0.853741497,NA,1.97000306,0.039217945,0.377155889,1.821851832
LHS_89,226052,0,0,0,1,85095,0,195,153,300,0.285714286,0.857142857,NA,1.345571937,0.043065834,0.075277279,3.177220655
LHS_73,200791,0,0,0,1,85095,0,194,153,300,0.278911565,0.860544218,NA,1.187951349,0.049438544,0.090480781,0.862438612
LHS_39,228623,0,0,0,1,85095,0,193,153,300,0.272108844,0.863945578,NA,1.672357075,0.030057958,0.300764298,4.026002157
LHS_55,244637,0,0,0,1,85095,0,193,153,300,0.272108844,0.863945578,NA,1.799831552,0.048925354,0.429434703,0.523005906
LHS_66,211425,0,0,0,1,85095,0,189,153,300,0.244897959,0.87755102,NA,1.717563152,0.038833234,0.130702633,1.57926786
LHS_30,224192,0,0,0,1,85095,0,185,153,300,0.217687075,0.891156463,NA,1.491191613,0.043672668,0.323782773,4.106775363
LHS_29,225238,0,0,0,1,85095,0,183,153,300,0.204081633,0.897959184,NA,1.013972654,0.032551535,0.388898301,3.932051701
LHS_95,207557,0,0,0,1,85095,0,181,153,300,0.19047619,0.904761905,NA,1.208791666,0.048110194,0.465640461,4.545398191
LHS_41,201788,0,0,0,1,85095,0,180,153,300,0.183673469,0.908163265,NA,1.064705646,0.044073188,0.108200773,3.045039313
LHS_68,228687,0,0,0,1,85095,0,179,153,300,0.176870748,0.911564626,NA,1.131459192,0.029234575,0.424008664,3.755013538
LHS_71,227234,0,0,0,1,85095,0,178,153,300,0.170068027,0.914965986,NA,1.472520462,0.030803074,0.400211105,4.443234908
LHS_78,209723,0,0,0,1,85095,0,178,153,300,0.170068027,0.914965986,NA,1.384489227,0.043580955,0.353079771,2.409813439
LHS_33,200977,0,0,0,1,85095,0,174,153,300,0.142857143,0.928571429,NA,1.534419463,0.033094296,0.351233582,1.751369826
LHS_75,217412,0,0,0,1,85095,0,173,153,300,0.136054422,0.931972789,NA,1.376316513,0.01740831,0.175732898,1.97622324
LHS_12,236643,0,0,0,1,85095,0,172,153,300,0.129251701,0.93537415,NA,1.411492804,0.046966477,0.393691358,1.799832845
LHS_97,199847,0,0,0,1,85095,0,169,153,300,0.108843537,0.945578231,NA,1.178512518,0.046515832,0.125707812,0.28602219
LHS_32,206727,0,0,0,1,85095,0,168,153,300,0.102040816,0.948979592,NA,1.220596624,0.035804683,0.232805993,1.483060622
LHS_40,230281,0,0,0,1,85095,0,165,153,300,0.081632653,0.959183673,NA,1.023924062,0.021985817,0.271121079,3.407120681
LHS_25,224130,0,0,0,1,85095,0,160,153,300,0.047619048,0.976190476,NA,1.156791358,0.038315625,0.244758395,1.39522958
LHS_16,216137,0,0,0,1,85095,0,159,153,300,0.040816327,0.979591837,NA,1.115180993,0.0207294,0.266230664,2.994127453
LHS_18,220089,0,0,0,1,85095,0,158,153,300,0.034013605,0.982993197,NA,1.430893427,0.01861041,0.34064867,1.112580684
LHS_50,202516,0,0,0,1,85095,0,153,153,300,0,1,NA,1.058112627,0.019774032,0.291545362,2.226625223
